,"Monday-Friday, 7:00am-9:00pm"
,Monday-Friday 7:45am-4:30pm
,Monday-Friday 8:00am-4:30pm
,Wednesday 9:30am-11:30am
,Monday-Friday 7:45am-4:30pm
,24 hours
,Monday-Friday 10:00am-4:30pm; Saturday 10:00am-2:00pm
,Monday-Friday 9:00am-6:00pm
,Thursday 1:00pm-5:00pm
,Sunday 10:00am-1:00pm
,Monday-Thursday 9:00am-6:00pm; Friday-Saturday 10:00am-6:00pm; Sunday 1:00pm-5:00pm
,Monday - Sunday 12:00am - 11:59pm
,Thursday 5:30pm-9:00pm
,"Tuesday, Friday 9:00am-1:00pm"
,Friday from 10:00am-1:00pm; Thursday 5:30pm-7:30pm
,Monday-Friday 7:45am-4:30pm
,Monday - Friday 9:00am-5:00pm
,Monday - Friday 8:30am - 4:30pm
,Thursday 12:00pm-3:00pm
,Monday - Friday 9:00am -  5:00pm
,Monday-Friday 9:00am-12:00pm
,Sunday - Saturday 8:00am - 6:00pm
,Monday-Friday 9:00am-4:00pm
,Monday - Friday 10:00am-4:00pm
